"nombre","direccion","contacto"
"Municipio de Socoltenango","6ª Av. Miguel Hidalgo s/n entre 8ª calle Álvaro Obregón y 9ª calle El Porvenir Zona Norte, Col. Centro, C.P. 30390, Socoltenango, Chis.","01 992 661 11 07"
"Municipio de Tapachula","8ª Av. Norte Esq. 3ª. Calle Poniente, Antiguo Palacio Municipal, Col. Centro, C.P. 30700, Tapachula, Chis.","01 962 620 03 65"
"Municipio de Tonala","Av. Hidalgo esq. 16 de Septiembre, Palacio Municpal 2do. Piso, Col. Centro, C.P. 3500, Tonala,Chis.","01 966 663 01 01"
"Municipio de Tuxtla el Chico","Presidencia Municipal, Col. Barrio Sacsalum, C.P. 30870, Tuxtla el Chico, Chis.","01 962 623 00 09"
"Municipio de Tuzantán","Av. Ayuntamiento s/n, Col Centro, C.P. 30680, Tuzantán, Chis.","01 964 620 01 16"
"Municipio de Tzimol","Av. Central No. 3, Col. Barrio de Santo Domingo, C.P. 30110, Tzimol, Chis.","01 963 631 60 13 y 14"
"Municipio de Villa Comaltitlán","Palacio Municipal s/n, Col. Centro, C.P. 30620, Villa Comaltitlán, Chis.","01 918 646 00 44"
"SEDESOL, Modalidad Identidad Jurídica en Comitán","2ª. Ave. Ote. Nte. No 24, Col. Barrio de la Pila, C.P. 30018, Comitán, Chis.","01 963 632 18 09"
"SEDESOL, Modalidad Identidad Jurídica en Ocozocuautla","3er Poniente Norte No. 71, Col. Centro, C.P. 29140, Ocozocuautla, Chis.","01 961 108 45 84"
"SEDESOL, Modalidad Identidad Jurídica en San Cristóbal","Vesalio No. 205, Col. Doctores, C.P. 29249, San Cristóbal de las Casas, Chis.","01 733 678 14 73"
"SEDESOL, Modalidad Identidad Jurídica en Tuxtla Gutiérrez","12ª. Oriente Sur No. 636, Col. Barrio Santa Cruz, C.P. 29000, Tuxtla Gutiérrez, Chis.","01 961 612 71 06"
"SEDESOL, Modalidad Identidad Jurídica en Tuxtla Gutiérrez","Edificio Plaza San Marcos 3er Piso, Col. Centro, C.P. 29000, Tuxtla Gutiérrez, Chis.","01 961 613 88 76"
"SEDESOL, Modalidad Identidad Jurídica en Tuxtla Gutiérrez","Quebracho No. 15, Col. Fovissste No. 2, Tuxtla Gutiérrez, Chis.","01 961 615 32 66"
"SEDESOL, Modalidad Identidad Jurídica en Yajalón","1ª. Av. Norte No. 78, Col. Jonuta, Yajalón, Chis.","01 919 674 05 50"
"Módulo: Instituto Nacional de Migración Delegación Regional Chiapas","Vialidad n° 435, Col. Fracc. Las Vegas, Tapachula, Chiapas.","01 962 625 05 59"
