"nombre","direccion","contacto"
"Registro Civil de Huasca De Ocampo","Palacio Municipal s/n, Huasca de Ocampo, Hidalgo","01 771 79 2 04 03 – 792 01 01 - 792 02 53"
"Registro Civil de Huautla","Plaza Principal s/n Col. Centro, Huautla, C.P. 43050, Hgo.","01 746 897 01 02"
"Registro Civil de Huazalingo","Plaza Principal s/n, col. Centro, Huazalingo, Hidalgo","01 789 8 96 30 36 y 6 07 77"
"Registro Civil de Huehuetla","Plaza Principal s/n, Col. Centro, C.P. 43420, Huehuetla","01 774 79 37119"
"Registro Civil de Huejutla","Plaza Principal s/n, Huejutla, C.P. 43000, Hidalgo","01 789 8 96 15 15"
"Registro Civil de Huichapan","Av. Miguel Hidalgo n° 1, Col. Centro, Huichapan, Hidalgo","01 761 7 82 05 45 ext. 116"
"Registro Civil de Ixmiquilpan","Plaza Juárez s/n, Ixmiquilpan, Hidalgo","01 759 72 3 86 88"
"Registro Civil de Jacala","Héroes de 1847 s/n, col. El Calvario, Jacala, Hidalgo","01 441 2 93 30 77 y 3 32 43"
"Registro Civil de Jaltocan","Plaza Principal s/n, Jaltocan, Hidalgo","01 789 85 58 072"
"Registro Civil de Juárez Hidalgo","Principal s/n, col. Centro, Juárez Hidalgo, Hidalgo",
"Registro Civil de La Misión","Palacio Municipal s/n, La Misión, Hidalgo",
"Registro Civil de Lolotla","Plaza Principal s/n, col. Centro, Lolotla, Hidalgo","01 774 7 42 40 10"
"Registro Civil de Metepec","Plaza Principal s/n, Metepec, Hidalgo","01 774 745 50 55"
"Registro Civil de Metzquititlan","Plaza de Armas Num. 5, col. Centro, Metzquititlan, Hidalgo","01 774 7 42 12 16 y 2 12 20"
"Registro Civil de Metztitlán","Plaza Principal s/n Col. Centro, Metztitlán, C.P. 43351, Hgo.","01 774 743 15 47 y 743 08 41"
"Registro Civil de Mineral de La Reforma","Av. Hidalgo n° 32, Pachuquilla, Hidalgo","01 771 9 8106"
"Registro Civil de Mineral del Chico","Plaza Principal s/n Col. Centro, Mineral del Chico, C.P. 42120, Hgo.","01 771 715 21 86"
"Registro Civil de Mineral Del Monte","Plaza Principal s/n, Col. Centro, C.P. 42130, Mineral del Monte, Hidalgo","01 771 79 7 05 10 – 01 771 79 7 12 16"
"Registro Civil de Mixquiahuala de Juárez","Plaza de la Constitución s/n, col. Centro, Mixquiahuala, C.P. 42700, Hidalgo","01 738 7 25 29 00 ext. 110"
"Registro Civil de Molango","Ignacio Zaragoza s/n, col. Centro, Molango, Hidalgo","01 774 7 45 00 02 y 5 03 69"
"Registro Civil de Nicolás Flores","Plaza Principal s/n, col. Centro, Nicolás Flores, Hidalgo","01 759 7 23 41 94"
"Registro Civil de Nopala de Villagran","Plaza Principal s/n, Col. Centro, Nopala de Villagran, Hidalgo.","01 761 2 10 24"
"Registro Civil de Omitlan de Juárez","Plaza Juárez s/n, col. Centro, Omitlan de Juárez, C.P. 43560, Hidalgo","01 771 7 92 21 05 y 7 92 20 75"
"Registro Civil de Pachuca","Plaza Pedro María Anaya n° 1, col. Centro, Pachuca, Hidalgo.","01 771 713 61 00 ext. 119"
"Registro Civil de Pachuca","Plaza Pedro Ma. Anaya n° 1, Col. Centro, Pachuca, Hidalgo","01 771 3 61 00 ext. 119"
"Registro Civil de Pacula","Plaza Principal s/n, col. Centro, Pacula, Hidalgo","01 55 10 85 92 81 y 82"
"Registro Civil de Pisaflores","Palacio Municipal s/n, C.P. 42220, Pisaflores, Hidalgo","01 483 3786027"
"Registro Civil de Progreso de Obregón","Palacio Municipal s/n, Progreso de Obregón, Hidalgo","01 738 7 25 06 51 y 7 25 00 02"
"Registro Civil de San Agustín Tlaxiaca","Av. Independencia n° 2, col. Centro, San Agustín Tlaxiaca, C.P. 42160, Hidalgo","01 743 7 91 46 47 ext. 109"
"Registro Civil de San Bartolo Tutotepec","Plaza Principal s/n Col. Centro, C.P. 43440, San Bartolo Tutotepec, Hidalgo","01 775 755 32 33"
"Registro Civil de San Felipe Orizatlan","Plaza Principal s/n, Col. Centro, C.P. 43020, San Felipe Orizatlan, Hidalgo","01 483 36 30058 – 30064"
"Registro Civil de San Salvador","Palacio Municipal s/n, Col. Centro, San Salvador, Hidalgo","01 738 7 83 20 30"
"Registro Civil de Santiago De Anaya","Domicilio: Plaza Independencia s/n, Col. Centro, C.P. 42620, Santiago de Anaya, Hidalgo.","01 772 7287112"
"Registro Civil de Santiago Tulantepec","Domicilio: Palacio Municipal s/n, Col. Centro, C.P. 43760, Santiago Tulantepec, Hidalgo.","01 775 75 32914 –15 y 16"
"Registro Civil de Singilucan","Plaza del Art. 115 s/n, col. Centro, Singuilucan, Hidalgo","01 775 7 55 29 02 y 7 70 00 55"
"Registro Civil de Tasquillo","Domicilio: Palacio Municipal s/n, Col. Centro, Tasquillo, Hidalgo.","01 759 72 3 54 42 – 01 759 72 3 50 48"
"Registro Civil de Tecozautla","Domicilio: Plaza de la Constitución n° 1, Tecozautla, Hidalgo","01 771 159 3 579"
"Registro Civil de Tenango de Doria","Dirección. Plaza Principal s/n, col. Centro, Tenango de Doria, Hidalgo.","01 776 755 35 88"
"Registro Civil de Tepeapulco","Domicilio: Plaza de la Constitución n° 8, C ol. Centro, Tepeapulco, Hidalgo","01 791 913 05 97 – 913 18 12"
"Registro Civil de Tepehuacan De Guerrero","Domicilio: Palacio Municipal s/n, Col. Centro, C.P. 43120, Tepehuacan de Guerrero. Hidalgo","01 774 74 2 70 37 39"
"Registro Civil de Tepeji del Río","Jardín Hidalgo s/n Col. Centro, Tepeji del Río, C.P. 42850, Hidalgo.","01 773 733 13 53, 733 13 32 y 733 00 33"
"Registro Civil de Tepetitlan","Plaza de la Constitución s/n, col. Centro, Tepetitlan, Hidalgo.","01 773 7 32 55 24 y 2 55 27"
"Registro Civil de Tetepango","Av. Zaragoza n° 20, Col. Centro, Tetepango, Hidalgo","01 778 7 82 40 43"
"Registro Civil de Tezontepec de Aldama","Aldama n° 1 Col. Centro, Tezontepec de Aldama, C.P. 42760, Hgo.","01 763 737 51 01 y 737 51 02"
"Registro Civil de Tianquistengo","Plaza Principal n° 68, Col. Centro, C.P. 43270, Tianquistenco, Hildago","01 774 74 40106 – 40107"
"Registro Civil de Tizayuca","Plaza Principal s/n, col. Centro, Tizayuca, Hidalgo","01 779 96 33 3 y 6 02 33"
"Registro Civil de Tlahuelilpan","Palacio Municipal s/n, col. Centro, Tlahuelilpan, Hidalgo","01 763 7 86 00 10 y 7 86 00 11"
"Registro Civil de Tlahuiltepa","Plaza Principal s/n, col. Centro, Tlahuiltepa, CP 43170, Hidalgo","01 200 12 32 86 970 y 71"
"Registro Civil de Tlanalapa","Domicilio: Plaza Principal s/n, Tlanalapa, Hidalgo","01 791 91 3 11 53"
"Registro Civil de Tlanchinol","Plaza Principal s/n, col. Centro, Tlanchinol, Hidalgo","01 774 9 74 00 18"
"Registro Civil de Tlaxcoapan","Plaza Principal s/n, col. Centro, Tlaxcoapan, Hidalgo","01 778 7 37 00 56 y 7 00 35"
"Registro Civil de Tolcayuca","Plaza de la Patria n° 1 Col. Centro, Tolcayuca, C.P. 43860, Hgo.","01 743 741 09 77"
"Registro Civil de Tula De Allende","Plaza del Nacionalismo s/n, Col. Centro, Tula de Allende, Hidalgo","01 773 732 1082 1183 1495 ext 128 – 102"
"Registro Civil de Tulancingo de Bravo","Domicilio: Plaza Cívica Manuel Fernando Soto s/n, Fracc. Los Pinos, C.P. 43602, Tulancingo, Hidalgo.","01 775 75 50477"
"Registro Civil de Villa De Tezontepec","Palacio Municipal s/n, Col. Centro, C.P. 43880, Villa de Tezontepec, Hidalgo","01 74374 10011- 1 04 44"
"Registro Civil de Xochiatipan","Plaza Principal s/n Zona Centro, Xochiatipan, Hidalgo","01 771 1042670"
"Registro Civil de Xochicoatlan","Plaza Hidalgo s/n, col. Centro, Xochicoatlan, Hidalgo","01 774 7 44 00 60"
"Registro Civil de Yahualica","Av. s/n,col. Centro, Yahualica, C.P. 43080, Hidalgo","01 774 9 74 40 79"
"Registro Civil de Zacualtipan","Plaza Principal s/n, Col. Centro, C.P. 43200, Zacualtipan, Hidalgo.","01 774 74 20022"
"Registro Civil de Zapotlan","Plaza Constitución s/n, col. Centro, Zapotlan, Hidalgo","01 43 91 01 32"
"Registro Civil de Zempoala","Plaza Principal s/n, col. Centro, Zempoala, Hidalgo","01 43 41 50 88 y 1 50 44"
"Registro Civil de Zimapan","Plaza Constitución n° 1, Col. Centro, Zimapan, Hidalgo.","01 759 7 28 21 16"
"Presidencia Municipal","Plaza Principal s/n Col. Centro, Ajacuba, Hidalgo","01 778 78 2 43 24"
"INEGI Pachuca","Blvd. Felipe Angeles s/n, Plaza Perisur Edificio GM 3er. Piso, Col. Venta Prieta, Pachuca, Hidalgo.","01 771 711 08 51 10"
"Instituto Nacional de Migración Delegación Regional Hidalgo","Blvd. Felipe Angeles s/n, Santa Julia, Pachuca, Hidalgo.","01 771 718 79 33"
